"LATENCY","REQUEST TYPE","RESPONSE CODE","START TIME"
"61","POST","200","50"
"61","POST","200","42"
"60","POST","200","52"
"60","POST","200","48"
"60","POST","200","72"
"61","POST","200","3"
"61","POST","200","3"
"61","POST","200","14"
"3","POST","200","50"
"3","POST","200","8"
"3","POST","200","80"
"3","POST","200","22"
"4","POST","200","70"
"4","POST","200","84"
"5","POST","200","72"
"5","POST","200","62"
"9","POST","200","69"
"2","POST","200","34"
"2","POST","200","43"
"2","POST","200","75"
"2","POST","200","41"
"2","POST","200","7"
"2","POST","200","41"
"3","POST","200","65"
"4","POST","200","56"
"10","POST","200","64"
"10","POST","200","48"
"9","POST","200","43"
"10","POST","200","48"
"12","POST","200","2"
"14","POST","200","61"
"14","POST","200","39"
"15","POST","200","47"
"9","POST","200","8"
"8","POST","200","55"
"9","POST","200","64"
"8","POST","200","74"
"8","POST","200","1"
"9","POST","200","72"
"9","POST","200","59"
"10","POST","200","50"
"4","POST","200","51"
"4","POST","200","59"
"5","POST","200","76"
"6","POST","200","19"
"6","POST","200","43"
"6","POST","200","10"
"7","POST","200","90"
"6","POST","200","8"
"5","POST","200","36"
"11","POST","200","28"
"14","POST","200","57"
"11","POST","200","32"
"14","POST","200","39"
"2","POST","200","8"
"2","POST","200","11"
"14","POST","200","22"
"15","POST","200","8"
"3","POST","200","62"
"7","POST","200","13"
"8","POST","200","11"
"8","POST","200","20"
"9","POST","200","70"
"10","POST","200","19"
"9","POST","200","64"
"10","POST","200","20"
"25","POST","200","48"
"12","POST","200","40"
"11","POST","200","9"
"12","POST","200","26"
"11","POST","200","36"
"12","POST","200","4"
"12","POST","200","27"
"9","POST","200","3"
"5","POST","200","68"
"6","POST","200","32"
"7","POST","200","32"
"8","POST","200","6"
"8","POST","200","86"
"8","POST","200","5"
"7","POST","200","47"
"8","POST","200","77"
"4","POST","200","82"
"6","POST","200","47"
"6","POST","200","85"
"6","POST","200","25"
"5","POST","200","13"
"9","POST","200","35"
"6","POST","200","27"
"11","POST","200","49"
"5","POST","200","4"
"5","POST","200","61"
"7","POST","200","1"
"5","POST","200","6"
"7","POST","200","42"
"5","POST","200","44"
"7","POST","200","85"
"5","POST","200","10"
"4","POST","200","41"
"4","POST","200","56"
"4","POST","200","1"
"4","POST","200","6"
"5","POST","200","59"
"7","POST","200","25"
"11","POST","200","81"
"4","POST","200","17"
"5","POST","200","76"
"3","POST","200","21"
"2","POST","200","24"
"9","POST","200","22"
"3","POST","200","35"
"3","POST","200","11"
"4","POST","200","59"
"4","POST","200","51"
"4","POST","200","86"
"3","POST","200","90"
"3","POST","200","84"
"5","POST","200","29"
"4","POST","200","49"
"4","POST","200","81"
"4","POST","200","89"
"4","POST","200","34"
"5","POST","200","8"
"6","POST","200","20"
"3","POST","200","38"
"3","POST","200","39"
"3","POST","200","28"
"4","POST","200","60"
"5","POST","200","26"
"11","POST","200","50"
"5","POST","200","50"
"5","POST","200","9"
"6","POST","200","13"
"5","POST","200","79"
"6","POST","200","8"
"5","POST","200","34"
"5","POST","200","54"
"2","POST","200","61"
"2","POST","200","54"
"2","POST","200","68"
"1","POST","200","54"
"3","POST","200","3"
"4","POST","200","89"
"2","POST","200","10"
"4","POST","200","81"
"2","POST","200","25"
"1","POST","200","37"
"1","POST","200","20"
"1","POST","200","24"
"3","POST","200","26"
"2","POST","200","88"
"2","POST","200","85"
"2","POST","200","44"
"1","POST","200","31"
"1","POST","200","68"
"1","POST","200","65"
"1","POST","200","1"
"1","POST","200","85"
"1","POST","200","65"
"1","POST","200","49"
"1","POST","200","22"
"4","POST","200","14"
"2","POST","200","29"
"1","POST","200","54"
"1","POST","200","66"
"2","POST","200","50"
"2","POST","200","87"
"3","POST","200","63"
"2","POST","200","23"
